********** ./zel_crossel.py {'context': True, 'fixed_len': 48, 'device': 'cuda:2', 'lan': ['bn', 'jv', 'mr', 'pa', 'te', 'uk'], 'top_what': [50, 20, 10, 5, 2, 1], 'saved_file': './saved/crossel_zel/context_1.bin'}
[TRAINER]: generating train loader
[TRAINER]: converting train data to tensors:
[TRAINER]: generating valid loader
[TRAINER]: converting valid data to tensors:
**** now round 0 valid begin:
ACC: tensor(0.4993, device='cuda:2')
[round: 1]: 4/90 end. loss: 0.48472025990486145
[round: 1]: 5/90 end. loss: 0.4696919620037079
[round: 1]: 6/90 end. loss: 0.4865993857383728
[round: 1]: 7/90 end. loss: 0.4549088180065155
[round: 1]: 8/90 end. loss: 0.4404001832008362
[round: 1]: 9/90 end. loss: 0.4453027844429016
[round: 1]: 10/90 end. loss: 0.4344150722026825
[round: 1]: 11/90 end. loss: 0.42571431398391724
[round: 1]: 12/90 end. loss: 0.4600391685962677
[round: 1]: 13/90 end. loss: 0.4159511923789978
[round: 1]: 14/90 end. loss: 0.45381128787994385
[round: 1]: 15/90 end. loss: 0.4090063273906708
[round: 1]: 16/90 end. loss: 0.4275544285774231
[round: 1]: 17/90 end. loss: 0.4215647876262665
[round: 1]: 18/90 end. loss: 0.40941113233566284
[round: 1]: 19/90 end. loss: 0.42207977175712585
[round: 1]: 20/90 end. loss: 0.4269285202026367
[round: 1]: 21/90 end. loss: 0.39206644892692566
[round: 1]: 22/90 end. loss: 0.4132176339626312
[round: 1]: 23/90 end. loss: 0.41399428248405457
[round: 1]: 24/90 end. loss: 0.4114348292350769
[round: 1]: 25/90 end. loss: 0.37944090366363525
[round: 1]: 26/90 end. loss: 0.36874398589134216
[round: 1]: 27/90 end. loss: 0.36531898379325867
[round: 1]: 28/90 end. loss: 0.4194849729537964
[round: 1]: 29/90 end. loss: 0.3876299560070038
[round: 1]: 30/90 end. loss: 0.3296988606452942
[round: 1]: 31/90 end. loss: 0.35839879512786865
[round: 1]: 32/90 end. loss: 0.3609691858291626
[round: 1]: 33/90 end. loss: 0.3292595446109772
[round: 1]: 34/90 end. loss: 0.32155174016952515
[round: 1]: 35/90 end. loss: 0.3264133632183075
[round: 1]: 36/90 end. loss: 0.34770938754081726
[round: 1]: 37/90 end. loss: 0.34464552998542786
[round: 1]: 38/90 end. loss: 0.3741590082645416
[round: 1]: 39/90 end. loss: 0.3360717296600342
[round: 1]: 40/90 end. loss: 0.31647205352783203
[round: 1]: 41/90 end. loss: 0.34747201204299927
[round: 1]: 42/90 end. loss: 0.31408098340034485
[round: 1]: 43/90 end. loss: 0.2706674039363861
[round: 1]: 44/90 end. loss: 0.3461509048938751
[round: 1]: 45/90 end. loss: 0.2792441248893738
[round: 1]: 46/90 end. loss: 0.2970496714115143
